owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
1382155,2014-01-29 00:00:00,1,Default Channel,xxTP Phone Sales,U.S. Mail,$182,$0,Academy of Music,Ainadamar,2
1382224,2014-01-28 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$213,$0,Academy of Music,Don Giovanni,3
1382438,2014-02-12 00:00:00,1,Web,Ticketing,Guest Services,$0,$0,Academy of Music,Ainadamar,2
1382438,2014-05-02 00:00:00,1,Web,Ticketing,OP - Will Call,$0,$0,Academy of Music,Don Giovanni,2
1382438,2014-05-15 00:00:00,1,Web,Ticketing Web Stbs,OP - Will Call,$0,$0,General Admission,ToO: A Coffin in Egypt,2
1382444,2014-06-03 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$84,$0,Perelman,A Coffin in Egypt,1
1382576,2014-09-24 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,3
1382802,2014-04-10 00:00:00,1,Default Channel,xxTP Phone Sales,U.S. Mail,$306,$0,Academy of Music,Don Giovanni,2
1382802,2014-08-13 00:00:00,1,Telemarketing,Ticketing,OP - US Mail,$1290,$0,Academy of Music,Don Carlo,2
1382802,2014-08-13 00:00:00,1,Telemarketing,Ticketing,OP - US Mail,$1290,$0,Academy of Music,Oscar,2
1382802,2014-08-13 00:00:00,1,Telemarketing,Ticketing,OP - US Mail,$1290,$0,Academy of Music,The Barber of Seville,2
1383005,2014-09-10 00:00:00,1,Phone,Ticketing,OP - US Mail,$216,$0,Academy of Music,The Barber of Seville,2
1383113,2014-09-18 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1383125,2014-09-19 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,5
1383646,2014-09-23 00:00:00,1,Default Channel,xx1 TP KC BO,Box Office Window,$238,$0,Academy of Music,The Barber of Seville,2
1383812,2014-02-14 00:00:00,1,Email,Ticketing,VIP,$0,$0,Academy of Music,Ainadamar,2
1383812,2014-02-14 00:00:00,1,Email,Ticketing,VIP,$0,$0,Academy of Music Ballroom,Intermission Passes,2
1383812,2014-05-23 00:00:00,1,Email,Ticketing,VIP,$0,$0,Perelman,A Coffin in Egypt,2
