owner_no,First Order Date,First Contribution Date,postal_code,state_desc,geo_area_desc,OP Prelim Capacity,LTV Tkt Value
2404458,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2408894,2020-01-24 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2409617,2020-01-29 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417756,2020-01-22 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417774,2020-01-23 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417783,2020-01-23 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417799,2020-01-24 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417897,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417899,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417903,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417905,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417913,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2418745,2020-03-13 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2419005,2020-05-13 00:00:00,2020-05-14 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),1,0.00
728263,2020-08-28 00:00:00,2013-04-30 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),2,0.00
2418903,2020-04-29 00:00:00,2020-04-30 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),4,0.00
2419166,2020-06-29 00:00:00,2020-06-30 00:00:00,19106,Pennsylvania,1-Philadelphia City (20 mi.),1,0.00
2417797,2020-01-24 00:00:00,,19107,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2380579,2020-01-29 00:00:00,,19118,Pennsylvania,1-Philadelphia City (20 mi.),5,0.00
2418938,2020-05-05 00:00:00,2020-05-05 00:00:00,191183506,Pennsylvania,1-Philadelphia City (20 mi.),3,0.00
2419004,2020-05-13 00:00:00,2020-05-14 00:00:00,19119,Pennsylvania,1-Philadelphia City (20 mi.),1,0.00
2417415,2020-01-02 00:00:00,,19122,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417755,2020-01-30 00:00:00,,19122,Pennsylvania,1-Philadelphia City (20 mi.),2,0.00
2417974,2020-01-30 00:00:00,,19123,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2418859,2020-04-15 00:00:00,2020-04-15 00:00:00,19123,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2396877,2020-01-31 00:00:00,,19124,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417906,2020-01-28 00:00:00,,19131,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2418071,2020-01-31 00:00:00,,19139,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
45045,2020-03-13 00:00:00,,191431863,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417904,2020-01-28 00:00:00,,19146,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2419173,2020-07-06 00:00:00,2020-07-07 00:00:00,19146,Pennsylvania,1-Philadelphia City (20 mi.),2,0.00
2417771,2020-01-23 00:00:00,,19147,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2418697,2020-03-10 00:00:00,,19147,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2419078,2020-05-27 00:00:00,2020-05-27 00:00:00,19301,Pennsylvania,1-Philadelphia City (20 mi.),1,0.00
2419080,2020-05-27 00:00:00,2020-05-27 00:00:00,19806,Delaware,2-Greater Philadelphia(70 mi.),2,0.00
2413443,2020-04-26 00:00:00,2020-04-27 00:00:00,19810,Delaware,2-Greater Philadelphia(70 mi.),4,0.00
2417914,2020-01-28 00:00:00,,19810,Delaware,2-Greater Philadelphia(70 mi.),U,0.00
2418921,2020-05-01 00:00:00,2020-05-05 00:00:00,20001,D.C.,4-DC (20 mi.),1,0.00
2417789,2020-01-23 00:00:00,,20011,D.C.,4-DC (20 mi.),,0.00
2418816,2020-03-27 00:00:00,2020-03-27 00:00:00,207232017,Maryland,4-DC (20 mi.),4,0.00
2419025,2020-05-15 00:00:00,2020-05-15 00:00:00,20817,Maryland,4-DC (20 mi.),6,0.00
2419149,2020-06-20 00:00:00,2020-06-22 00:00:00,20904,Maryland,4-DC (20 mi.),1,0.00
2419164,2020-06-28 00:00:00,2020-06-29 00:00:00,21211,Maryland,5-NEC (140 mi. from Philly),,0.00
2419182,2020-07-10 00:00:00,2020-07-10 00:00:00,2193205,,8-Foreign,1,0.00
2419170,2020-07-05 00:00:00,2020-07-07 00:00:00,27455,North Carolina,7-USA Balance,3,0.00
2417654,2020-01-17 00:00:00,,27951,North Carolina,7-USA Balance,,0.00
2419030,2020-05-17 00:00:00,2020-05-18 00:00:00,32937,Florida,7-USA Balance,,0.00
2419130,2020-06-14 00:00:00,2020-06-14 00:00:00,33428,Florida,7-USA Balance,5,0.00
2417259,2020-04-28 00:00:00,2020-04-28 00:00:00,33708,Florida,7-USA Balance,4,0.00
2419171,2020-07-05 00:00:00,2020-07-07 00:00:00,34688,Florida,7-USA Balance,1,0.00
2419108,2020-06-05 00:00:00,2020-06-09 00:00:00,37909,Tennessee,7-USA Balance,5,0.00
2418980,2020-05-10 00:00:00,2020-05-11 00:00:00,42101,Kentucky,7-USA Balance,4,0.00
2398278,2020-05-04 00:00:00,2020-05-05 00:00:00,44121,Ohio,7-USA Balance,4,0.00
2419179,2020-07-08 00:00:00,2020-07-08 00:00:00,45202,Ohio,7-USA Balance,5,0.00
2419073,2020-05-25 00:00:00,2020-05-26 00:00:00,45237,Ohio,7-USA Balance,5,0.00
2418986,2020-05-10 00:00:00,2020-05-11 00:00:00,46617,Indiana,7-USA Balance,1,0.00
2419311,2020-08-30 00:00:00,2020-08-31 00:00:00,53212,Wisconsin,7-USA Balance,,0.00
2419188,2020-07-13 00:00:00,2020-07-14 00:00:00,55407,Minnesota,7-USA Balance,1,0.00
2419310,2020-08-29 00:00:00,2020-08-31 00:00:00,60602,Illinois,7-USA Balance,,0.00
2419066,2020-05-23 00:00:00,2020-05-26 00:00:00,63139,Missouri,7-USA Balance,1,0.00
2419245,2020-07-27 00:00:00,2020-07-27 00:00:00,80206,Colorado,7-USA Balance,3,0.00
2419312,2020-08-30 00:00:00,2020-08-31 00:00:00,80218,Colorado,7-USA Balance,,0.00
2417446,2020-01-04 00:00:00,,81224,Colorado,7-USA Balance,,0.00
2419012,2020-05-14 00:00:00,2020-05-15 00:00:00,81635,Colorado,7-USA Balance,3,0.00
2419104,2020-06-02 00:00:00,2020-06-05 00:00:00,87110,New Mexico,7-USA Balance,4,0.00
2419142,2020-06-17 00:00:00,2020-06-18 00:00:00,87501,New Mexico,7-USA Balance,1,0.00
2419167,2020-07-02 00:00:00,2020-07-02 00:00:00,89141,Nevada,7-USA Balance,4,0.00
2419152,2020-06-23 00:00:00,2020-06-25 00:00:00,90272,California,7-USA Balance,6,0.00
2419271,2020-08-24 00:00:00,2020-08-14 00:00:00,90277,California,7-USA Balance,5,0.00
2418982,2020-05-10 00:00:00,2020-05-11 00:00:00,94112,California,7-USA Balance,4,0.00
2418983,2020-05-10 00:00:00,2020-05-11 00:00:00,94117,California,7-USA Balance,6,0.00
2419031,2020-05-17 00:00:00,2020-05-18 00:00:00,94610,California,7-USA Balance,5,0.00
2418998,2020-05-12 00:00:00,2020-05-13 00:00:00,94611,California,7-USA Balance,5,0.00
2419006,2020-05-13 00:00:00,2020-05-14 00:00:00,94708,California,7-USA Balance,4,0.00
2419113,2020-06-08 00:00:00,2020-06-09 00:00:00,95501,California,7-USA Balance,3,0.00
2418988,2020-05-10 00:00:00,2020-05-11 00:00:00,956046210,California,7-USA Balance,1,0.00
2419313,2020-08-31 00:00:00,,95617,California,7-USA Balance,,0.00
2418710,2020-03-11 00:00:00,,998011158,Alaska,7-USA Balance,,0.00
